inst=1 type=reg->reg     size=4 src_reg=2 dest_reg=0 disp=32
inst=2 type=reg->reg     size=2 src_reg=2 dest_reg=0 disp=8
inst=3 type=mem->reg     size=4 src_reg=2 dest_reg=1 disp=32
inst=4 type=reg->mem     size=4 src_reg=2 dest_reg=6 disp=8
inst=5 type=mem->reg     size=4 src_reg=7 dest_reg=2 disp=8
inst=6 type=reg->reg     size=2 src_reg=1 dest_reg=7 disp=32
inst=7 type=reg->mem     size=8 src_reg=0 dest_reg=6 disp=8
inst=8 type=xadd(LOCK)   size=2 src_reg=1 dest_reg=0 disp=0
inst=9 type=xadd(LOCK)   size=4 src_reg=2 dest_reg=7 disp=0
inst=10 type=reg->mem     size=4 src_reg=7 dest_reg=6 disp=32
inst=11 type=imm->reg     size=1 src_reg=0 dest_reg=6 disp=32
inst=12 type=xchg         size=1 src_reg=0 dest_reg=6 disp=8
inst=13 type=imm->reg     size=8 src_reg=0 dest_reg=7 disp=8
inst=14 type=imm->reg     size=1 src_reg=0 dest_reg=1 disp=32
inst=15 type=imm->reg     size=2 src_reg=7 dest_reg=0 disp=0
inst=16 type=mem->reg     size=8 src_reg=1 dest_reg=0 disp=0
inst=17 type=reg->reg     size=2 src_reg=1 dest_reginst=1 type=reg->reg     size=4 src_reg=2 dest_reg=0 disp=32
inst=2 type=reg->reg     size=2 src_reg=2 dest_reg=0 disp=8
inst=3 type=mem->reg     size=4 src_reg=2 dest_reg=1 disp=32
inst=4 type=reg->mem     size=4 src_reg=2 dest_reg=6 disp=8
inst=5 type=mem->reg     size=4 src_reg=7 dest_reg=2 disp=8
inst=6 type=reg->reg     size=2 src_reg=1 dest_reg=7 disp=32
inst=7 type=reg->mem     size=8 src_reg=0 dest_reg=6 disp=8
inst=8 type=xadd(LOCK)   size=2 src_reg=1 dest_reg=0 disp=0
inst=9 type=xadd(LOCK)   size=4 src_reg=2 dest_reg=7 disp=0
inst=10 type=reg->mem     size=4 src_reg=7 dest_reg=6 disp=32
inst=11 type=imm->reg     size=1 src_reg=0 dest_reg=6 disp=32
inst=12 type=xchg         size=1 src_reg=0 dest_reg=6 disp=8
inst=13 type=imm->reg     size=8 src_reg=0 dest_reg=7 disp=8
inst=14 type=imm->reg     size=1 src_reg=0 dest_reg=1 disp=32
inst=15 type=imm->reg     size=2 src_reg=7 dest_reg=0 disp=0
inst=16 type=mem->reg     size=8 src_reg=1 dest_reg=0 disp=0
inst=17 type=reg->reg     size=2 src_reg=1 dest_reginst=1 type=reg->reg     size=4 src_reg=2 dest_reg=0 disp=32
inst=2 type=reg->reg     size=2 src_reg=2 dest_reg=0 disp=8
inst=3 type=mem->reg     size=4 src_reg=2 dest_reg=1 disp=32
inst=4 type=reg->mem     size=4 src_reg=2 dest_reg=6 disp=8
inst=5 type=mem->reg     size=4 src_reg=7 dest_reg=2 disp=8
inst=6 type=reg->reg     size=2 src_reg=1 dest_reg=7 disp=32
inst=7 type=reg->mem     size=8 src_reg=0 dest_reg=6 disp=8
inst=8 type=xadd(LOCK)   size=2 src_reg=1 dest_reg=0 disp=0
inst=9 type=xadd(LOCK)   size=4 src_reg=2 dest_reg=7 disp=0
inst=10 type=reg->mem     size=4 src_reg=7 dest_reg=6 disp=32
inst=11 type=imm->reg     size=1 src_reg=0 dest_reg=6 disp=32
inst=12 type=xchg         size=1 src_reg=0 dest_reg=6 disp=8
inst=13 type=imm->reg     size=8 src_reg=0 dest_reg=7 disp=8
inst=14 type=imm->reg     size=1 src_reg=0 dest_reg=1 disp=32
inst=15 type=imm->reg     size=2 src_reg=7 dest_reg=0 disp=0
inst=16 type=mem->reg     size=8 src_reg=1 dest_reg=0 disp=0
inst=17 type=reg->reg     size=2 src_reg=1 dest_reginst=1 type=reg->reg     size=4 src_reg=2 dest_reg=0 disp=32
inst=2 type=reg->reg     size=2 src_reg=2 dest_reg=0 disp=8
inst=3 type=mem->reg     size=4 src_reg=2 dest_reg=1 disp=32
inst=4 type=reg->mem     size=4 src_reg=2 dest_reg=6 disp=8
inst=5 type=mem->reg     size=4 src_reg=7 dest_reg=2 disp=8
inst=6 type=reg->reg     size=2 src_reg=1 dest_reg=7 disp=32
inst=7 type=reg->mem     size=8 src_reg=0 dest_reg=6 disp=8
inst=8 type=xadd(LOCK)   size=2 src_reg=1 dest_reg=0 disp=0
inst=9 type=xadd(LOCK)   size=4 src_reg=2 dest_reg=7 disp=0
inst=10 type=reg->mem     size=4 src_reg=7 dest_reg=6 disp=32
inst=11 type=imm->reg     size=1 src_reg=0 dest_reg=6 disp=32
